Student ID,Gender,Ethnicity,FSA_ELA,Retained,Attendance,Behavior,Fall_Diag,Winter_Diag,Bins_Winter
3505181649,M,Caucasian,3,NO,NO,NO,536.0,564.0,4
3507461649,M,Caucasian,4,NO,NO,NO,564.0,584.0,5
3508041649,F,Caucasian,4,NO,NO,NO,531.0,528.0,4
3509881649,M,Caucasian,5,NO,NO,NO,530.0,556.0,4
3510171549,M,Caucasian,3,YES,NO,NO,518.0,534.0,4
3510261513,M,Caucasian,3,NO,NO,NO,535.0,553.0,4
3510301649,M,Multi-Racial,4,NO,NO,NO,547.0,582.0,5
3510291649,M,Caucasian,4,NO,NO,NO,533.0,574.0,5
3510911649,M,Caucasian,3,NO,NO,NO,486.0,509.0,3
3511661649,M,Caucasian,2,NO,NO,NO,495.0,509.0,3
3512421649,M,Caucasian,2,NO,NO,NO,474.0,513.0,3
3512811649,F,Caucasian,3,NO,NO,NO,537.0,556.0,4
3513031423,M,Caucasian,4,YES,NO,NO,540.0,559.0,4
4804290612,M,Hispanic,2,NO,NO,NO,474.0,512.0,3
3514841649,M,Caucasian,3,NO,NO,NO,505.0,497.0,3
4804301887,M,American Indian,4,NO,NO,NO,550.0,569.0,4
3517311649,M,Caucasian,4,NO,NO,NO,520.0,539.0,4
3517421549,F,Caucasian,2,YES,NO,NO,473.0,485.0,3
3517401649,F,Hispanic,3,NO,NO,NO,540.0,551.0,4
3517711849,M,Caucasian,4,NO,NO,NO,535.0,529.0,4
3518351504,F,Hispanic,4,NO,NO,NO,548.0,563.0,4
3519911649,M,Caucasian,5,NO,NO,NO,573.0,600.0,5
3521041796,M,Caucasian,4,NO,NO,NO,502.0,571.0,4
3523291649,F,Asian,2,NO,NO,NO,505.0,524.0,4
3529091649,F,African American,4,NO,NO,NO,555.0,582.0,5
3530301649,F,Caucasian,5,NO,NO,NO,541.0,569.0,4
3530481649,M,Caucasian,4,NO,NO,NO,548.0,585.0,5
3530741649,F,Caucasian,4,NO,NO,NO,542.0,579.0,5
3532761649,F,Caucasian,4,NO,NO,NO,552.0,559.0,4
3550321531,M,Hispanic,3,NO,NO,NO,507.0,529.0,4
3551201849,M,Hispanic,3,NO,NO,NO,524.0,549.0,4
3551341649,M,Caucasian,4,NO,NO,NO,489.0,544.0,4
3553311849,F,African American,3,NO,NO,NO,518.0,523.0,4
3553381622,F,Caucasian,4,NO,NO,NO,580.0,593.0,5
3554381669,F,Asian,2,NO,NO,NO,525.0,524.0,4
3554441649,M,Caucasian,4,NO,NO,NO,548.0,578.0,5
3554491949,F,Hispanic,3,NO,NO,NO,513.0,524.0,4
3554711649,F,Hispanic,4,NO,NO,NO,526.0,530.0,4
3555521570,F,Caucasian,3,NO,NO,NO,480.0,513.0,3
4804291888,M,Caucasian,4,NO,NO,NO,578.0,554.0,4
3557801623,M,Caucasian,3,NO,NO,NO,482.0,533.0,4
3558501649,M,Caucasian,4,NO,NO,NO,548.0,591.0,5
3559751649,M,Asian,4,NO,NO,NO,564.0,547.0,4
3560301549,M,Caucasian,2,YES,NO,NO,446.0,487.0,3
3560411613,F,Caucasian,2,NO,NO,NO,449.0,497.0,3
3569201649,M,Hispanic,5,NO,NO,NO,547.0,568.0,4
3569281649,F,Caucasian,3,NO,NO,NO,522.0,535.0,4
3569341649,F,Asian,4,NO,NO,NO,569.0,569.0,4
3569331649,F,Asian,4,NO,NO,NO,576.0,562.0,4
3569341204,F,Asian,1,YES,NO,NO,372.0,450.0,2
3569711649,F,Caucasian,5,NO,NO,NO,558.0,569.0,4
3571781704,M,Caucasian,4,NO,NO,NO,500.0,540.0,4
3572921404,M,Caucasian,3,YES,NO,NO,517.0,515.0,3
3572921649,M,Caucasian,5,NO,NO,NO,554.0,582.0,5
3575961649,F,Multi-Racial,4,NO,NO,NO,531.0,546.0,4
3576151649,M,Hispanic,2,NO,NO,NO,491.0,526.0,4
3576991649,F,Hispanic,3,NO,NO,NO,536.0,527.0,4
3577481949,M,Caucasian,3,NO,NO,NO,504.0,531.0,4
3579081649,F,Multi-Racial,3,NO,NO,NO,492.0,545.0,4
3579541649,M,Hispanic,3,NO,NO,NO,512.0,539.0,4
3580261649,F,Hispanic,4,NO,NO,NO,529.0,533.0,4
3581071623,F,Hispanic,3,NO,NO,NO,527.0,533.0,4
3581171649,F,Caucasian,4,NO,NO,NO,551.0,560.0,4
3581311204,M,Caucasian,4,NO,NO,NO,514.0,530.0,4
3581511613,M,Caucasian,4,NO,NO,NO,528.0,549.0,4
3582021649,F,Caucasian,3,NO,NO,NO,521.0,522.0,4
3585071849,M,Caucasian,3,NO,NO,NO,515.0,545.0,4
3589631649,M,Caucasian,4,NO,NO,NO,548.0,562.0,4
3593131622,F,Caucasian,3,NO,NO,NO,512.0,541.0,4
3593521604,M,Caucasian,5,NO,NO,NO,550.0,589.0,5
3594261649,F,African American,3,NO,NO,NO,511.0,515.0,3
3598881649,F,Caucasian,3,NO,NO,NO,533.0,558.0,4
1816000908,M,Caucasian,3,NO,NO,NO,490.0,519.0,3
3504381608,F,Hispanic,1,NO,NO,YES,472.0,514.0,3
3505731608,M,Hispanic,3,NO,NO,NO,458.0,531.0,4
3505811608,M,Multi-Racial,3,NO,NO,NO,501.0,539.0,4
3507911409,M,Hispanic,1,NO,NO,NO,430.0,475.0,3
3508501688,F,Caucasian,2,NO,NO,NO,522.0,543.0,4
3510721608,M,African American,2,NO,NO,YES,476.0,545.0,4
3511241635,F,African American,3,NO,NO,NO,524.0,562.0,4
3513041608,F,African American,2,NO,NO,NO,474.0,507.0,3
3514841608,M,Caucasian,2,NO,NO,NO,519.0,520.0,3
3515081508,M,Caucasian,3,YES,NO,NO,413.0,473.0,3
3518081160,F,African American,2,NO,NO,NO,499.0,535.0,4
3519451745,F,Hispanic,1,NO,NO,NO,489.0,498.0,3
3520361545,M,Caucasian,2,NO,YES,NO,516.0,530.0,4
3527541608,F,Caucasian,5,NO,NO,NO,542.0,547.0,4
3527761508,F,African American,2,YES,NO,NO,475.0,513.0,3
3528251608,M,Caucasian,3,NO,NO,NO,488.0,546.0,4
3530191608,M,African American,4,NO,NO,NO,505.0,532.0,4
3530361808,F,Hispanic,2,NO,NO,NO,471.0,513.0,3
3532401508,F,African American,2,YES,NO,NO,482.0,552.0,4
3534541531,F,African American,3,NO,NO,NO,526.0,527.0,4
3537351508,F,Caucasian,3,YES,NO,NO,516.0,522.0,4
3545441545,M,African American,5,NO,NO,NO,561.0,574.0,5
3546111708,F,Caucasian,4,NO,NO,NO,509.0,532.0,4
3546831509,M,African American,2,YES,YES,NO,429.0,488.0,3
3548611608,F,Caucasian,3,NO,NO,NO,509.0,553.0,4
3548671608,M,Caucasian,4,NO,NO,NO,507.0,545.0,4
3551161509,F,African American,1,NO,NO,NO,471.0,488.0,3
3551161608,M,Multi-Racial,3,NO,NO,NO,539.0,580.0,5
3551491609,M,Multi-Racial,4,NO,NO,NO,585.0,564.0,4
3551781635,F,Caucasian,5,NO,NO,NO,580.0,603.0,5
3551991508,M,Hispanic,4,YES,NO,NO,488.0,533.0,4
3553371535,F,African American,4,NO,NO,NO,573.0,568.0,4
3555201608,F,African American,4,NO,NO,NO,581.0,620.0,5
3555561508,M,African American,1,YES,NO,NO,464.0,453.0,2
3556621635,F,Multi-Racial,3,NO,NO,NO,566.0,545.0,4
3556711608,F,Hispanic,4,NO,NO,NO,537.0,577.0,5
3559751988,F,African American,4,NO,NO,NO,549.0,570.0,4
3560431508,F,Caucasian,2,YES,NO,NO,454.0,492.0,3
3560631608,M,Caucasian,4,NO,NO,NO,555.0,588.0,5
3564921608,F,Caucasian,4,NO,NO,NO,530.0,554.0,4
3566521808,M,Hispanic,1,NO,NO,NO,408.0,421.0,1
3569911060,M,African American,4,NO,YES,NO,565.0,570.0,4
3572921609,F,Hispanic,3,NO,NO,NO,513.0,519.0,3
3574221608,F,Caucasian,4,NO,NO,NO,587.0,568.0,4
3574671908,F,Caucasian,3,NO,NO,NO,475.0,518.0,3
3574761608,M,Hispanic,5,NO,NO,NO,530.0,562.0,4
3576991160,F,Hispanic,1,YES,NO,NO,473.0,493.0,3
3576991545,F,Unknown,4,NO,NO,NO,530.0,550.0,4
3577631060,F,African American,2,NO,NO,NO,493.0,526.0,4
3577721535,M,Multi-Racial,2,YES,NO,NO,460.0,493.0,3
3578291608,F,Caucasian,5,NO,NO,NO,542.0,593.0,5
3583561708,M,Caucasian,5,NO,NO,NO,589.0,616.0,5
3583841608,M,Caucasian,4,NO,NO,NO,540.0,549.0,4
3585181628,F,Hispanic,2,NO,NO,NO,487.0,503.0,3
3589561608,F,Caucasian,4,NO,NO,NO,550.0,567.0,4
3589571608,M,Caucasian,4,NO,NO,NO,539.0,539.0,4
3594091608,M,African American,3,NO,NO,NO,487.0,489.0,3
3594321508,M,African American,2,YES,NO,NO,498.0,511.0,3
3594341608,M,African American,3,NO,NO,NO,503.0,521.0,3
4804292858,F,Caucasian,4,NO,NO,NO,520.0,548.0,4
4804295625,F,African American,2,NO,NO,NO,507.0,543.0,4
3576071808,M,Caucasian,3,no,yes,yes,512.0,494.0,3
3535311408,M,African American,1,yes,no,yes,433.0,486.0,3
3537471808,M,Caucasian,5,no,yes,yes,550.0,598.0,5
3558071508,M,African American,1,no,no,yes,472.0,464.0,2
3573231309,F,African American,3,no,yes,yes,495.0,528.0,4
3597741508,F,Caucasian,4,no,no,yes,555.0,556.0,4
3584271508,M,Caucasian,3,no,no,yes,515.0,535.0,4
3571471509,F,African American,2,no,no,yes,505.0,515.0,3
3594151577,M,African American,5,no,no,no,583.0,583.0,5
3538251508,M,Caucasian,2,no,no,no,557.0,529.0,4
3547121591,F,Caucasian,5,no,no,no,572.0,572.0,5
3512991408,M,Caucasian,3,no,no,no,546.0,544.0,4
4804266071,F,Hispanic,4,no,yes,no,569.0,567.0,4
4804244929,F,Hispanic,3,no,yes,no,505.0,525.0,4
3530301431,F,Caucasian,3,yes,yes,no,522.0,564.0,4
3527751508,M,Multi-Racial,3,no,yes,no,523.0,531.0,4
4804251324,F,African American,4,no,yes,no,535.0,547.0,4
3517521308,M,African American,1,yes,yes,no,414.0,414.0,1
3538141535,M,Multi-Racial,4,no,yes,no,552.0,556.0,4
3570291408,M,African American,3,yes,yes,no,491.0,543.0,4
3577091588,F,Caucasian,5,no,yes,no,597.0,554.0,4
3594231409,M,African American,3,no,yes,no,495.0,514.0,3
3531971436,F,Hispanic,3,no,yes,no,498.0,532.0,4
3586071534,F,Caucasian,2,no,yes,no,536.0,539.0,4
3591801508,M,African American,3,no,yes,no,501.0,553.0,4
3558571508,F,Caucasian,2,no,yes,no,431.0,514.0,3
3577461512,M,Caucasian,3,no,yes,no,467.0,529.0,4
3579121436,F,Hispanic,1,yes,yes,no,407.0,463.0,2
3578671508,F,Multi-Racial,2,no,yes,no,481.0,520.0,3
3527541508,M,Caucasian,4,no,yes,no,536.0,557.0,4
3576911508,M,Caucasian,2,no,yes,no,512.0,510.0,3
3532801545,M,Multi-Racial,4,no,no,no,553.0,577.0,5
3592921608,M,Multi-Racial,5,no,no,no,593.0,614.0,5
3554491536,F,Caucasian,3,no,no,no,558.0,551.0,4
3573751577,F,African American,3,no,no,no,512.0,531.0,4
3569911508,F,Hispanic,2,no,no,no,486.0,478.0,3
3515041508,F,Multi-Racial,3,no,no,no,521.0,560.0,4
3530981408,M,Caucasian,4,yes,no,no,537.0,531.0,4
3507951708,F,Caucasian,3,no,no,no,526.0,573.0,5
3580081508,F,Caucasian,4,no,no,no,590.0,595.0,5
3571301431,M,African American,2,yes,no,no,433.0,472.0,2
3571770960,F,African American,3,yes,no,no,473.0,535.0,4
3553261408,F,Hispanic,1,yes,no,no,437.0,475.0,3
1300604301,F,African American,3,no,no,no,515.0,548.0,4
3555201209,M,African American,4,no,no,no,526.0,573.0,5
3512401409,F,Hispanic,2,no,no,no,472.0,488.0,3
3535211535,M,Multi-Racial,3,no,no,no,516.0,544.0,4
3560431408,F,Caucasian,3,yes,no,no,478.0,544.0,4
3530351808,F,Hispanic,4,no,no,no,504.0,504.0,3
3556371235,F,Hispanic,2,no,no,no,500.0,513.0,3
3569011535,M,Hispanic,4,no,no,no,578.0,586.0,5
3572921508,M,Caucasian,5,no,no,no,546.0,571.0,4
3581931508,M,Caucasian,5,no,no,no,568.0,587.0,5
3510551409,F,Caucasian,3,yes,no,no,463.0,512.0,3
3567731587,F,Caucasian,4,no,no,no,563.0,570.0,4
3577201309,F,Caucasian,3,yes,no,no,487.0,519.0,3
3515661599,M,Hispanic,1,no,no,no,402.0,410.0,1
3556661508,M,Hispanic,2,no,no,no,499.0,499.0,3
3532391508,F,Caucasian,3,no,no,no,526.0,546.0,4
3545691508,F,Caucasian,3,no,no,no,493.0,538.0,4
3557181608,F,Caucasian,2,no,no,no,516.0,525.0,4
3513081509,F,African American,3,no,no,no,490.0,506.0,3
3597701508,M,African American,3,no,no,no,543.0,565.0,4
3533011335,M,Hispanic,1,no,no,no,424.0,472.0,2
3553261508,F,Hispanic,3,no,no,no,523.0,543.0,4
3577121508,M,Hispanic,2,no,no,no,493.0,468.0,2
3548671509,F,Caucasian,3,no,no,no,492.0,498.0,3
3556041536,M,Caucasian,3,no,no,no,488.0,517.0,3
3571491808,M,Caucasian,5,no,no,no,540.0,563.0,4
3531971408,M,Hispanic,2,yes,no,no,457.0,449.0,2
5926006517,F,African American,2,no,no,no,501.0,501.0,3
3580841435,F,African American,3,no,no,no,496.0,539.0,4
3508421508,M,Caucasian,3,no,no,no,551.0,558.0,4
3515361508,M,Caucasian,3,no,no,no,559.0,546.0,4
3531461508,F,Caucasian,5,no,no,no,612.0,593.0,5
3571921508,F,Caucasian,4,no,no,no,503.0,522.0,4
3582191508,F,Caucasian,5,no,no,no,522.0,554.0,4
3592081508,F,Caucasian,3,no,no,no,529.0,534.0,4
3535761308,M,Caucasian,3,yes,no,no,497.0,519.0,3
