Student ID,Gender,Ethnicity,FSA_MATH,Retained,Attendance,Behavior,Fall_Diag,Winter_Diag,Bins_Fall
3505181649,M,Caucasian,4,NO,NO,NO,456,446,4
3507461649,M,Caucasian,4,NO,NO,NO,457,460,4
3508041649,F,Caucasian,5,NO,NO,NO,465,467,4
3509881649,M,Caucasian,5,NO,NO,NO,476,496,5
3510171549,M,Caucasian,3,YES,NO,NO,443,443,3
3510261513,M,Caucasian,4,NO,NO,NO,427,475,3
3510301649,M,Multi-Racial,3,NO,NO,NO,439,455,3
3510291649,M,Caucasian,4,NO,NO,NO,456,458,4
3510911649,M,Caucasian,3,NO,NO,NO,404,454,2
3511661649,M,Caucasian,3,NO,NO,NO,435,451,3
3512421649,M,Caucasian,3,NO,NO,NO,436,456,3
3512811649,F,Caucasian,3,NO,NO,NO,446,461,4
3513031423,M,Caucasian,3,YES,NO,NO,448,446,4
4804290612,M,Hispanic,1,NO,NO,NO,386,410,1
3514841649,M,Caucasian,2,NO,NO,NO,409,441,2
4804301887,M,American Indian,5,NO,NO,NO,437,466,3
3517311649,M,Caucasian,4,NO,NO,NO,430,436,3
3517421549,F,Caucasian,3,YES,NO,NO,431,443,3
3517401649,F,Hispanic,4,NO,NO,NO,428,465,3
3517711849,M,Caucasian,4,NO,NO,NO,439,464,3
3518351504,F,Hispanic,4,NO,NO,NO,434,457,3
3519911649,M,Caucasian,4,NO,NO,NO,458,455,4
3521041796,M,Caucasian,3,NO,NO,NO,451,474,4
3523291649,F,Asian,3,NO,NO,NO,426,456,3
3529091649,F,African American,4,NO,NO,NO,456,465,4
3530301649,F,Caucasian,5,NO,NO,NO,455,470,4
3530481649,M,Caucasian,3,NO,NO,NO,431,450,3
3530741649,F,Caucasian,5,NO,NO,NO,450,470,4
3532761649,F,Caucasian,5,NO,NO,NO,463,465,4
3550321531,M,Hispanic,4,NO,NO,NO,447,456,4
3551201849,M,Hispanic,4,NO,NO,NO,434,460,3
3551341649,M,Caucasian,4,NO,NO,NO,426,461,3
3553311849,F,African American,4,NO,NO,NO,425,439,3
3553381622,F,Caucasian,4,NO,NO,NO,463,466,4
3554381669,F,Asian,3,NO,NO,NO,433,442,3
3554441649,M,Caucasian,5,NO,NO,NO,453,459,4
3554491949,F,Hispanic,3,NO,NO,NO,412,451,2
3554711649,F,Hispanic,4,NO,NO,NO,441,473,3
3555521570,F,Caucasian,2,NO,NO,NO,421,444,3
4804291888,M,Caucasian,4,NO,NO,NO,450,465,4
3557801623,M,Caucasian,3,NO,NO,NO,447,448,4
3558501649,M,Caucasian,4,NO,NO,NO,422,463,3
3559751649,M,Asian,4,NO,NO,NO,452,455,4
3560301549,M,Caucasian,1,YES,NO,NO,405,435,2
3560411613,F,Caucasian,4,NO,NO,NO,425,420,3
3569201649,M,Hispanic,5,NO,NO,NO,454,468,4
3569281649,F,Caucasian,4,NO,NO,NO,446,456,4
3569341649,F,Asian,5,NO,NO,NO,467,486,4
3569331649,F,Asian,5,NO,NO,NO,480,477,5
3569341204,F,Asian,2,YES,NO,NO,386,426,1
3569711649,F,Caucasian,4,NO,NO,NO,441,455,3
3571781704,M,Caucasian,3,NO,NO,NO,432,456,3
3572921404,M,Caucasian,3,YES,NO,NO,435,454,3
3572921649,M,Caucasian,5,NO,NO,NO,438,460,3
3575961649,F,Multi-Racial,3,NO,NO,NO,437,454,3
3576151649,M,Hispanic,2,NO,NO,NO,424,447,3
3576991649,F,Hispanic,3,NO,NO,NO,438,447,3
3577481949,M,Caucasian,3,NO,NO,NO,439,458,3
3579081649,F,Multi-Racial,2,NO,NO,NO,405,432,2
3579541649,M,Hispanic,4,NO,NO,NO,438,453,3
3580261649,F,Hispanic,3,NO,NO,NO,434,455,3
3581071623,F,Hispanic,3,NO,NO,NO,438,462,3
3581171649,F,Caucasian,4,NO,NO,NO,476,458,5
3581311204,M,Caucasian,2,NO,NO,NO,414,450,2
3581511613,M,Caucasian,4,NO,NO,NO,438,455,3
3582021649,F,Caucasian,3,NO,NO,NO,429,448,3
3585071849,M,Caucasian,4,NO,NO,NO,437,456,3
3589631649,M,Caucasian,5,NO,NO,NO,455,466,4
3593131622,F,Caucasian,4,NO,NO,NO,448,465,4
3593521604,M,Caucasian,4,NO,NO,NO,470,491,4
3594261649,F,African American,3,NO,NO,NO,442,465,3
3598881649,F,Caucasian,3,NO,NO,NO,432,456,3
1816000908,M,Caucasian,4,NO,NO,NO,442,464,3
3504381608,F,Hispanic,3,NO,NO,YES,430,447,3
3505731608,M,Hispanic,4,NO,NO,NO,421,438,3
3505811608,M,Multi-Racial,3,NO,NO,NO,434,461,3
3507911409,M,Hispanic,2,NO,NO,NO,406,429,2
3508501688,F,Caucasian,2,NO,NO,NO,410,428,2
3510721608,M,African American,2,NO,NO,YES,405,414,2
3511241635,F,African American,4,NO,NO,NO,424,436,3
3513041608,F,African American,2,NO,NO,NO,418,426,2
3514841608,M,Caucasian,2,NO,NO,NO,426,422,3
3515081508,M,Caucasian,3,YES,NO,NO,439,427,3
3518081160,F,African American,2,NO,NO,NO,427,448,3
3519451745,F,Hispanic,2,NO,NO,NO,427,435,3
3520361545,M,Caucasian,3,NO,YES,NO,441,446,3
3527541608,F,Caucasian,5,NO,NO,NO,481,467,5
3527761508,F,African American,1,YES,NO,NO,386,415,1
3528251608,M,Caucasian,4,NO,NO,NO,420,444,3
3530191608,M,African American,4,NO,NO,NO,449,462,4
3530361808,F,Hispanic,3,NO,NO,NO,420,439,3
3532401508,F,African American,1,YES,NO,NO,421,429,3
3534541531,F,African American,3,NO,NO,NO,439,445,3
3537351508,F,Caucasian,3,YES,NO,NO,432,444,3
3545441545,M,African American,5,NO,NO,NO,457,469,4
3546111708,F,Caucasian,5,NO,NO,NO,446,471,4
3546831509,M,African American,1,YES,YES,NO,381,389,1
3548611608,F,Caucasian,2,NO,NO,NO,406,421,2
3548671608,M,Caucasian,5,NO,NO,NO,451,467,4
3551161509,F,African American,2,NO,NO,NO,417,443,2
3551161608,M,Multi-Racial,5,NO,NO,NO,459,493,4
3551491609,M,Multi-Racial,5,NO,NO,NO,443,462,3
3551781635,F,Caucasian,5,NO,NO,NO,459,495,4
3551991508,M,Hispanic,4,YES,NO,NO,438,462,3
3553371535,F,African American,4,NO,NO,NO,457,467,4
3555201608,F,African American,5,NO,NO,NO,468,493,4
3555561508,M,African American,1,YES,NO,NO,429,435,3
3556621635,F,Multi-Racial,3,NO,NO,NO,443,446,3
3556711608,F,Hispanic,5,NO,NO,NO,458,475,4
3559751988,F,African American,4,NO,NO,NO,454,472,4
3560431508,F,Caucasian,3,YES,NO,NO,432,447,3
3560631608,M,Caucasian,5,NO,NO,NO,454,465,4
3564921608,F,Caucasian,4,NO,NO,NO,440,463,3
3566521808,M,Hispanic,1,NO,NO,NO,393,380,2
3569911060,M,African American,4,NO,YES,NO,443,478,3
3572921609,F,Hispanic,3,NO,NO,NO,438,442,3
3574221608,F,Caucasian,5,NO,NO,NO,486,491,5
3574671908,F,Caucasian,3,NO,NO,NO,413,437,2
3574761608,M,Hispanic,4,NO,NO,NO,445,463,4
3576991160,F,Hispanic,1,YES,NO,NO,413,409,2
3576991545,F,Unknown,2,NO,NO,NO,448,451,4
3577631060,F,African American,4,NO,NO,NO,446,462,4
3577721535,M,Multi-Racial,1,YES,NO,NO,398,408,2
3578291608,F,Caucasian,5,NO,NO,NO,462,473,4
3583561708,M,Caucasian,4,NO,NO,NO,454,475,4
3583841608,M,Caucasian,5,NO,NO,NO,455,468,4
3585181628,F,Hispanic,2,NO,NO,NO,423,416,3
3589561608,F,Caucasian,5,NO,NO,NO,454,460,4
3589571608,M,Caucasian,5,NO,NO,NO,451,487,4
3594091608,M,African American,3,NO,NO,NO,417,430,2
3594321508,M,African American,3,YES,NO,NO,436,449,3
3594341608,M,African American,5,NO,NO,NO,455,466,4
4804292858,F,Caucasian,4,NO,NO,NO,423,447,3
4804295625,F,African American,4,NO,NO,NO,431,444,3
3576071808,M,Caucasian,3,no,yes,yes,435,445,3
3535311408,M,African American,1,yes,no,yes,365,388,1
3537471808,M,Caucasian,4,no,yes,yes,431,452,3
3558071508,M,African American,3,no,no,yes,419,441,3
3573231309,F,African American,2,no,yes,yes,410,425,2
3597741508,F,Caucasian,3,no,no,yes,401,444,2
3584271508,M,Caucasian,4,no,no,yes,438,434,3
3571471509,F,African American,2,no,no,yes,437,448,3
3594151577,M,African American,5,no,no,no,441,465,3
3538251508,M,Caucasian,3,no,no,no,443,440,3
3547121591,F,Caucasian,4,no,no,no,458,455,4
3512991408,M,Caucasian,5,no,no,no,484,476,5
4804266071,F,Hispanic,4,no,yes,no,449,452,4
4804244929,F,Hispanic,2,no,yes,no,431,439,3
3530301431,F,Caucasian,3,yes,yes,no,436,449,3
3527751508,M,Multi-Racial,4,no,yes,no,466,462,4
4804251324,F,African American,3,no,yes,no,442,448,3
3517521308,M,African American,2,yes,yes,no,407,407,2
3538141535,M,Multi-Racial,3,no,yes,no,416,450,2
3570291408,M,African American,3,yes,yes,no,448,462,4
3577091588,F,Caucasian,5,no,yes,no,450,461,4
3594231409,M,African American,3,no,yes,no,438,451,3
3531971436,F,Hispanic,3,no,yes,no,433,440,3
3586071534,F,Caucasian,3,no,yes,no,434,452,3
3591801508,M,African American,3,no,yes,no,441,459,3
3558571508,F,Caucasian,3,no,yes,no,418,460,2
3577461512,M,Caucasian,3,no,yes,no,419,444,3
3579121436,F,Hispanic,1,yes,yes,no,397,410,2
3578671508,F,Multi-Racial,2,no,yes,no,426,441,3
3527541508,M,Caucasian,5,no,yes,no,451,462,4
3576911508,M,Caucasian,5,no,yes,no,453,450,4
3532801545,M,Multi-Racial,4,no,no,no,436,457,3
3592921608,M,Multi-Racial,5,no,no,no,477,489,5
3554491536,F,Caucasian,4,no,no,no,447,437,4
3573751577,F,African American,3,no,no,no,436,455,3
3569911508,F,Hispanic,1,no,no,no,419,393,3
3515041508,F,Multi-Racial,3,no,no,no,436,456,3
3530981408,M,Caucasian,4,yes,no,no,434,453,3
3507951708,F,Caucasian,4,no,no,no,442,458,3
3580081508,F,Caucasian,5,no,no,no,449,468,4
3571301431,M,African American,2,yes,no,no,401,422,2
3571770960,F,African American,4,yes,no,no,433,449,3
3553261408,F,Hispanic,2,yes,no,no,411,424,2
1300604301,F,African American,5,no,no,no,449,460,4
3555201209,M,African American,5,no,no,no,478,478,5
3512401409,F,Hispanic,1,no,no,no,414,428,2
3535211535,M,Multi-Racial,3,no,no,no,441,448,3
3560431408,F,Caucasian,5,yes,no,no,437,459,3
3530351808,F,Hispanic,5,no,no,no,449,449,4
3556371235,F,Hispanic,4,no,no,no,452,446,4
3569011535,M,Hispanic,4,no,no,no,451,456,4
3572921508,M,Caucasian,5,no,no,no,478,475,5
3581931508,M,Caucasian,5,no,no,no,432,457,3
3510551409,F,Caucasian,2,yes,no,no,409,435,2
3567731587,F,Caucasian,4,no,no,no,456,461,4
3577201309,F,Caucasian,3,yes,no,no,442,451,3
3515661599,M,Hispanic,1,no,no,no,392,426,1
3556661508,M,Hispanic,2,no,no,no,414,449,2
3532391508,F,Caucasian,3,no,no,no,441,454,3
3545691508,F,Caucasian,4,no,no,no,427,454,3
3557181608,F,Caucasian,2,no,no,no,434,442,3
3513081509,F,African American,2,no,no,no,414,432,2
3597701508,M,African American,4,no,no,no,439,452,3
3533011335,M,Hispanic,1,no,no,no,389,406,1
3553261508,F,Hispanic,4,no,no,no,440,447,3
3577121508,M,Hispanic,3,no,no,no,428,437,3
3548671509,F,Caucasian,4,no,no,no,445,456,4
3556041536,M,Caucasian,3,no,no,no,452,441,4
3571491808,M,Caucasian,5,no,no,no,453,463,4
3531971408,M,Hispanic,2,yes,no,no,434,428,3
5926006517,F,African American,1,no,no,no,402,402,2
3580841435,F,African American,3,no,no,no,432,441,3
3508421508,M,Caucasian,5,no,no,no,456,465,4
3515361508,M,Caucasian,3,no,no,no,449,448,4
3531461508,F,Caucasian,5,no,no,no,451,460,4
3571921508,F,Caucasian,3,no,no,no,422,442,3
3582191508,F,Caucasian,4,no,no,no,450,463,4
3592081508,F,Caucasian,4,no,no,no,433,442,3
3535761308,M,Caucasian,3,yes,no,no,435,449,3
