Student ID,Fall_Diag,Winter_Diag
3507951708,442,458
3508421508,456,465
3594151577,441,465
3510551409,409,435
3512401409,414,428
3512991408,484,476
3513081509,414,432
3515041508,436,456
3515361508,449,448
3515661599,392,426
3517521308,407,407
1300604301,449,460
3527541508,451,462
3527751508,466,462
4804244929,431,439
3530301431,436,449
3530351808,449,449
3530981408,434,453
3531461508,451,460
3531971436,433,440
3531971408,434,428
3532391508,441,454
3532801545,436,457
3533011335,389,406
3535211535,441,448
3535761308,435,449
3537471808,431,452
3538141535,416,450
3538251508,443,440
3535311408,365,388
3545691508,427,454
4804251324,442,448
3547121591,458,455
3548671509,445,456
3553261508,440,447
3553261408,411,424
3554491536,447,437
3555201209,478,478
3556041536,452,441
3556661508,414,449
3556371235,452,446
3557181608,434,442
3558071508,419,441
3558571508,418,460
3560431408,437,459
5926006517,402,402
3567731587,456,461
3569011535,451,456
3569911508,419,393
3570291408,448,462
3571301431,401,422
3571491808,453,463
3571471509,437,448
4804266071,449,452
3571770960,433,449
3571921508,422,442
3572921508,478,475
3573231309,410,425
3573751577,436,455
3576071808,435,445
3576911508,453,450
3577091588,450,461
3577121508,428,437
3577201309,442,451
3577461512,419,444
3578671508,426,441
3579121436,397,410
3580081508,449,468
3580841435,432,441
3581931508,432,457
3582191508,450,463
3584271508,438,434
3586071534,434,452
3591801508,441,459
3592081508,433,442
3592921608,477,489
3594231409,438,451
3597741508,401,444
3597701508,439,452
3510881902,322,313
3535681908,318,321
4804411784,322,322
3573351908,403,326
3575631908,317,332
3594231908,319,333
4804402885,330,336
3594171908,291,338
3574881909,335,340
3571801935,363,341
3566661908,320,347
3575531809,338,347
3575631709,341,347
3535761908,345,348
3594001809,353,348
3519911745,334,348
3575631809,339,350
3515091908,347,350
3513081808,356,350
3507911509,353,351
3519911908,341,352
6422110826,308,353
4804362212,351,353
3546121908,350,355
3512451808,351,356
3575941934,341,358
4804395417,363,359
3578541908,336,361
3578181909,355,362
3594271934,329,362
3577301908,347,362
3577301808,343,363
3507901509,359,363
3532631608,358,363
3573321845,355,363
3507211809,323,364
3518951808,382,365
3578191909,350,366
3581121912,344,366
3576991645,355,367
3504361808,352,371
3576991908,341,371
3578191908,339,373
3575261728,368,373
3576091808,345,374
4804426575,350,376
3574571808,367,376
3552281908,333,376
3510951908,351,376
3519011808,359,376
3555041535,375,377
3513171945,370,377
3590331708,352,377
3527541908,350,378
3576001708,374,379
3557471509,365,380
3566521808,393,380
5931004160,382,382
3532851708,365,382
3557271908,370,382
3515471734,370,383
3594241808,375,384
3508431787,358,385
3574761808,370,385
3517151908,359,387
3548761808,389,387
3585721471,371,387
3550071908,393,387
3527571908,366,388
3557801708,398,388
3593531808,360,388
3559761988,356,389
3546831509,381,389
3512421845,358,390
3572921709,389,390
3561531808,368,390
3507941908,335,391
3532391808,364,392
3510231808,360,393
3556521509,398,393
3554061808,375,394
3573761808,355,395
3515761708,390,395
3535681708,389,396
3512371908,374,396
3529661808,388,396
3577121808,375,397
3502921745,390,397
6099953962,391,397
3552091808,353,398
3533241735,379,399
3546101808,376,399
3531971908,341,400
3581861731,432,400
3507431808,373,401
3515561708,383,401
3510951808,393,401
3580361608,393,402
3505811708,381,402
3515751708,392,403
3551161808,368,403
3555921708,402,403
3518141634,400,404
3511241808,388,405
0501709259,405,405
4900784709,386,406
3594791708,397,407
3559011708,348,407
3571211260,389,408
3525001608,403,408
3518001509,404,408
3577721535,398,408
3554621808,367,408
3514631708,414,409
3576991160,413,409
3556321708,411,409
3556521708,383,410
3577011688,376,410
3511021509,384,412
5300749868,393,412
3511091734,393,412
4804321829,388,413
3552781808,378,413
3533751609,379,414
3510721608,405,414
3579081908,348,415
3527761508,386,415
3552321687,412,415
3517101745,378,415
3556221708,389,416
3571211608,382,416
3585181628,423,416
3574931335,413,417
3510401845,406,417
3513261908,357,418
3577251708,407,419
3528181708,412,419
3535111645,402,420
3545481708,408,420
3530381845,391,421
3546081708,383,421
3576951636,377,421
3548611608,406,421
4804290982,434,422
3555401828,381,422
3557811708,410,422
3514841608,426,422
3532401845,382,423
4804319833,435,424
3552351808,384,425
3574241608,404,425
3532061708,399,426
3513041608,418,426
3552091908,366,427
3534691609,423,427
3515081508,439,427
3515511709,431,427
3533881735,400,427
3533691808,372,428
3508501688,410,428
3507911409,406,429
3513171836,393,429
3560891845,389,429
3592711808,402,429
3532401508,421,429
3594091608,417,430
3534841908,407,431
3535541831,406,432
3515671708,442,432
3593281708,401,434
3517661909,360,435
3555561508,429,435
3575941908,364,435
3512481708,421,435
3534771708,433,435
3519451745,427,435
3579121735,403,436
3511241635,424,436
3518011735,421,437
3574671908,413,437
3505731608,421,438
4804327562,394,439
3569011428,408,439
3530361808,420,439
3513671808,382,440
3585321708,419,440
3572921609,438,442
3551161509,417,443
3571451708,434,443
3537351508,432,444
3528251608,420,444
4804295625,431,444
3534541531,439,445
3520361545,441,446
3556621635,443,446
4804292858,423,447
3504381608,430,447
3560431508,432,447
3518081160,427,448
3571491708,419,449
3594231609,409,449
3531931609,442,449
3594321508,436,449
3557181931,435,450
3535061608,416,450
3576991545,448,451
3545481731,437,452
4804234125,421,452
3589451745,400,453
4804295762,435,453
3527781708,435,457
3589561608,454,460
3505811608,434,461
3551991508,438,462
3530191608,449,462
3551491609,443,462
3577631060,446,462
3564921608,440,463
3574761608,445,463
3510851745,430,464
1816000908,442,464
3555081708,416,465
3560631608,454,465
3594341608,455,466
3527541608,481,467
3548671608,451,467
3553371535,457,467
3583841608,455,468
3545441545,457,469
3546111708,446,471
3559751988,454,472
3578291608,462,473
3557341708,469,474
3556711608,458,475
3583561708,454,475
3569911060,443,478
3589571608,451,487
3574221608,486,491
3551161608,459,493
3555201608,468,493
3551781635,459,495
3520421949,350,324
3509171949,348,338
3585321949,340,342
4804407398,320,343
3557841913,346,345
3566351949,342,348
3570051949,323,350
3532761949,342,354
3547281949,328,355
3528901949,340,356
3530421949,330,356
3573721949,356,356
3537541604,349,357
3557801949,319,357
3573321899,351,357
3509541949,341,358
3530241949,333,358
3565581949,312,358
3585641949,349,358
3575961823,358,359
3598281849,365,359
3519911949,340,360
3516221949,354,362
3519021949,347,362
3555941949,342,362
3519951949,333,364
3548341949,351,364
3560411949,356,364
3565591949,331,364
3510691949,360,365
3579541949,371,367
3589591823,361,368
3513601949,355,369
3574251623,342,369
3515691949,359,370
3559221949,342,370
3580961949,340,371
3581551949,380,371
3507631949,346,372
3516241949,346,373
3569521949,356,373
3529051949,340,374
3574001949,347,374
3512771804,358,375
3572131949,355,375
3533071949,377,376
3557971949,364,376
3590691949,364,376
3532831870,361,377
3578391949,388,377
3530461949,370,378
3517561949,351,380
3556001949,372,380
3560631949,338,380
3578281949,372,380
4636091743,344,380
3533761849,373,382
3548521870,377,382
3577721849,329,383
3515381949,358,385
3558501849,362,385
3586311686,388,385
3510171949,360,386
3534101949,376,386
3511471849,377,387
3515671823,381,387
3572951949,371,387
3529271895,372,388
3550171723,363,388
3555961849,377,388
3513751949,387,389
3555891849,378,389
3517401949,362,390
3557011949,364,390
3580051949,363,390
3517011949,347,391
3553981949,320,391
3557051849,374,391
3518351949,367,392
3549111949,366,392
3507991949,368,393
3533671949,381,393
3560341949,377,393
3531151949,376,394
3552021822,366,394
3580561749,353,394
3508831949,384,395
3545721723,374,395
3554891949,373,395
3560101849,386,395
3534641823,371,396
3554381949,381,396
3569331949,367,396
3576171849,367,396
3580451949,387,396
3516201949,373,397
3534951949,373,398
3525131770,390,399
3529301949,373,399
3565581723,390,399
3576321786,392,399
3551341949,376,400
3577051891,390,400
3590901949,395,401
3557921613,388,402
3512421849,400,403
3534701723,414,403
3536831796,411,403
3565741504,365,403
3569331849,381,403
3575601749,390,403
3577411849,284,403
3583031849,389,403
3573481949,394,404
3551191849,391,405
3581311849,392,405
3516201749,396,406
3571001949,392,406
3575471749,395,406
3516211749,408,407
3509231849,363,408
3516031804,388,408
3581171949,382,408
3585021822,374,408
3585251949,400,408
3510171775,402,409
3555961723,411,409
4804290612,386,410
3532761849,396,411
3535681849,400,411
3578871896,404,411
3534091949,394,412
3545591849,380,412
3545711723,380,412
3581811849,392,412
3552121849,411,413
3582501623,399,413
3585081849,395,413
3594241949,395,413
3516191749,390,414
3558231722,366,414
3574411849,381,414
3575411849,385,414
3515211791,425,415
3530831849,386,415
3532141749,409,415
3509061849,375,416
3509171796,411,416
3554991949,388,416
3557531749,417,417
3570821749,411,417
3530741849,412,418
3552601749,413,418
3560411613,425,420
3577341849,408,421
3536471849,393,422
3574761891,389,422
3518361749,394,423
3532831796,420,423
3535081795,403,423
3590721791,414,423
3513601886,406,424
3517251749,388,424
3527911723,395,424
3581851749,407,424
3593851722,381,424
3529191722,387,425
3554491849,429,425
3577991749,408,425
3585661523,381,425
4804342587,406,425
3521051849,396,426
3569341204,386,426
3507631749,412,427
3510221823,423,427
3551671696,401,427
3569341770,402,427
3580121704,414,428
3592681749,421,428
3535751804,431,429
3559041849,416,429
3583031749,408,429
4804328705,413,429
3513111849,425,430
3580551749,385,430
3529181849,399,431
3534091749,435,431
3556731770,409,431
3576151849,412,431
3510021749,411,432
3514701849,409,432
3557801849,419,432
3559351786,413,432
3579081649,405,432
3514731813,406,433
3569541749,411,433
3569711749,406,433
3577521749,406,433
0616160357,420,434
3533691749,406,434
3553051749,435,434
3560301549,405,435
3517311649,430,436
3555521670,425,436
3578351896,421,436
3531111849,439,437
3510781749,408,439
3553311849,425,439
3577961749,418,439
3585641723,411,439
3514741813,422,440
3549111749,414,440
3514841649,409,441
3527891849,409,441
3554891775,411,441
3505181849,423,442
3529051749,424,442
3554381669,433,442
3510171549,443,443
3515361723,423,443
3517421549,431,443
3565621849,409,443
3547211723,413,444
3555521570,421,444
3574681749,417,444
3576991849,423,444
3559941786,430,445
3505181649,456,446
3513031423,448,446
3538311749,432,446
3576151649,424,447
3576991649,438,447
5929005828,425,447
3508261723,416,448
3554531749,445,448
3557801623,447,448
3582021649,429,448
3577011723,423,449
3530481649,431,450
3570101849,430,450
3581311204,414,450
3593521823,399,450
3511661649,435,451
3554491949,412,451
3576161849,426,451
3529191622,423,452
3536471749,446,452
3595731775,443,452
3579541649,438,453
3510911649,404,454
3516221749,446,454
3572921404,435,454
3575961649,437,454
3578281749,442,454
3510301649,439,455
3519911649,458,455
3559751649,452,455
3569711649,441,455
3570151723,413,455
3580261649,434,455
3581511613,438,455
3512421649,436,456
3523291649,426,456
3550321531,447,456
3569281649,446,456
3571781704,432,456
3585071849,437,456
3598881649,432,456
3518351504,434,457
3583721749,432,457
3510291649,456,458
3577481949,439,458
3581171649,476,458
3514901749,447,459
3518811749,432,459
3554441649,453,459
3557701723,422,459
3581861749,466,459
3507461649,457,460
3551201849,434,460
3572921649,438,460
3512811649,446,461
3551341649,426,461
3513671796,445,462
3581071623,438,462
3557011749,436,463
3558501649,422,463
3569551749,445,463
3517711849,439,464
3574421749,445,464
3517401649,428,465
3529091649,456,465
3532761649,463,465
3548521749,445,465
3593131622,448,465
3594261649,442,465
4804291888,450,465
3553381622,463,466
3589631649,455,466
4804301887,437,466
3508041649,465,467
3569201649,454,468
3530301649,455,470
3530741649,450,470
3573671586,439,470
3554711649,441,473
3521041796,451,474
3509771749,463,475
3509781749,454,475
3510261513,427,475
3576001749,454,476
3569331649,480,477
3509791749,462,481
3571001749,469,481
3569341649,467,486
3593521604,470,491
3509881649,476,496
