student_id,fall_diag,winter_diag,fsa_ela,gender,ethnicity,retained,attendance,behavior
3505181649,536,564,3,M,Caucasian,NO,NO,NO
3507461649,564,584,4,M,Caucasian,NO,NO,NO
3508041649,531,528,4,F,Caucasian,NO,NO,NO
3509881649,530,556,5,M,Caucasian,NO,NO,NO
3510171549,518,534,3,M,Caucasian,YES,NO,NO
3510261513,535,553,3,M,Caucasian,NO,NO,NO
3510301649,547,582,4,M,Multi-Racial,NO,NO,NO
3510291649,533,574,4,M,Caucasian,NO,NO,NO
3510911649,486,509,3,M,Caucasian,NO,NO,NO
3511661649,495,509,2,M,Caucasian,NO,NO,NO
3512421649,474,513,2,M,Caucasian,NO,NO,NO
3512811649,537,556,3,F,Caucasian,NO,NO,NO
3513031423,540,559,4,M,Caucasian,YES,NO,NO
4804290612,474,512,2,M,Hispanic,NO,NO,NO
3514841649,505,497,3,M,Caucasian,NO,NO,NO
4804301887,550,569,4,M,American Indian,NO,NO,NO
3517311649,520,539,4,M,Caucasian,NO,NO,NO
3517421549,473,485,2,F,Caucasian,YES,NO,NO
3517401649,540,551,3,F,Hispanic,NO,NO,NO
3517711849,535,529,4,M,Caucasian,NO,NO,NO
3518351504,548,563,4,F,Hispanic,NO,NO,NO
3519911649,573,600,5,M,Caucasian,NO,NO,NO
3521041796,502,571,4,M,Caucasian,NO,NO,NO
3523291649,505,524,2,F,Asian,NO,NO,NO
3529091649,555,582,4,F,African American,NO,NO,NO
3530301649,541,569,5,F,Caucasian,NO,NO,NO
3530481649,548,585,4,M,Caucasian,NO,NO,NO
3530741649,542,579,4,F,Caucasian,NO,NO,NO
3532761649,552,559,4,F,Caucasian,NO,NO,NO
3550321531,507,529,3,M,Hispanic,NO,NO,NO
3551201849,524,549,3,M,Hispanic,NO,NO,NO
3551341649,489,544,4,M,Caucasian,NO,NO,NO
3553311849,518,523,3,F,African American,NO,NO,NO
3553381622,580,593,4,F,Caucasian,NO,NO,NO
3554381669,525,524,2,F,Asian,NO,NO,NO
3554441649,548,578,4,M,Caucasian,NO,NO,NO
3554491949,513,524,3,F,Hispanic,NO,NO,NO
3554711649,526,530,4,F,Hispanic,NO,NO,NO
3555521570,480,513,3,F,Caucasian,NO,NO,NO
4804291888,578,554,4,M,Caucasian,NO,NO,NO
3557801623,482,533,3,M,Caucasian,NO,NO,NO
3558501649,548,591,4,M,Caucasian,NO,NO,NO
3559751649,564,547,4,M,Asian,NO,NO,NO
3560301549,446,487,2,M,Caucasian,YES,NO,NO
3560411613,449,497,2,F,Caucasian,NO,NO,NO
3569201649,547,568,5,M,Hispanic,NO,NO,NO
3569281649,522,535,3,F,Caucasian,NO,NO,NO
3569341649,569,569,4,F,Asian,NO,NO,NO
3569331649,576,562,4,F,Asian,NO,NO,NO
3569341204,372,450,1,F,Asian,YES,NO,NO
3569711649,558,569,5,F,Caucasian,NO,NO,NO
3571781704,500,540,4,M,Caucasian,NO,NO,NO
3572921404,517,515,3,M,Caucasian,YES,NO,NO
3572921649,554,582,5,M,Caucasian,NO,NO,NO
3575961649,531,546,4,F,Multi-Racial,NO,NO,NO
3576151649,491,526,2,M,Hispanic,NO,NO,NO
3576991649,536,527,3,F,Hispanic,NO,NO,NO
3577481949,504,531,3,M,Caucasian,NO,NO,NO
3579081649,492,545,3,F,Multi-Racial,NO,NO,NO
3579541649,512,539,3,M,Hispanic,NO,NO,NO
3580261649,529,533,4,F,Hispanic,NO,NO,NO
3581071623,527,533,3,F,Hispanic,NO,NO,NO
3581171649,551,560,4,F,Caucasian,NO,NO,NO
3581311204,514,530,4,M,Caucasian,NO,NO,NO
3581511613,528,549,4,M,Caucasian,NO,NO,NO
3582021649,521,522,3,F,Caucasian,NO,NO,NO
3585071849,515,545,3,M,Caucasian,NO,NO,NO
3589631649,548,562,4,M,Caucasian,NO,NO,NO
3593131622,512,541,3,F,Caucasian,NO,NO,NO
3593521604,550,589,5,M,Caucasian,NO,NO,NO
3594261649,511,515,3,F,African American,NO,NO,NO
3598881649,533,558,3,F,Caucasian,NO,NO,NO
1816000908,490,519,3,M,Caucasian,NO,NO,NO
3504381608,472,514,1,F,Hispanic,NO,NO,YES
3505731608,458,531,3,M,Hispanic,NO,NO,NO
3505811608,501,539,3,M,Multi-Racial,NO,NO,NO
3507911409,430,475,1,M,Hispanic,NO,NO,NO
3508501688,522,543,2,F,Caucasian,NO,NO,NO
3510721608,476,545,2,M,African American,NO,NO,YES
3511241635,524,562,3,F,African American,NO,NO,NO
3513041608,474,507,2,F,African American,NO,NO,NO
3514841608,519,520,2,M,Caucasian,NO,NO,NO
3515081508,413,473,3,M,Caucasian,YES,NO,NO
3518081160,499,535,2,F,African American,NO,NO,NO
3519451745,489,498,1,F,Hispanic,NO,NO,NO
3520361545,516,530,2,M,Caucasian,NO,YES,NO
3527541608,542,547,5,F,Caucasian,NO,NO,NO
3527761508,475,513,2,F,African American,YES,NO,NO
3528251608,488,546,3,M,Caucasian,NO,NO,NO
3530191608,505,532,4,M,African American,NO,NO,NO
3530361808,471,513,2,F,Hispanic,NO,NO,NO
3532401508,482,552,2,F,African American,YES,NO,NO
3534541531,526,527,3,F,African American,NO,NO,NO
3537351508,516,522,3,F,Caucasian,YES,NO,NO
3545441545,561,574,5,M,African American,NO,NO,NO
3546111708,509,532,4,F,Caucasian,NO,NO,NO
3546831509,429,488,2,M,African American,YES,YES,NO
3548611608,509,553,3,F,Caucasian,NO,NO,NO
3548671608,507,545,4,M,Caucasian,NO,NO,NO
3551161509,471,488,1,F,African American,NO,NO,NO
3551161608,539,580,3,M,Multi-Racial,NO,NO,NO
3551491609,585,564,4,M,Multi-Racial,NO,NO,NO
3551781635,580,603,5,F,Caucasian,NO,NO,NO
3551991508,488,533,4,M,Hispanic,YES,NO,NO
3553371535,573,568,4,F,African American,NO,NO,NO
3555201608,581,620,4,F,African American,NO,NO,NO
3555561508,464,453,1,M,African American,YES,NO,NO
3556621635,566,545,3,F,Multi-Racial,NO,NO,NO
3556711608,537,577,4,F,Hispanic,NO,NO,NO
3559751988,549,570,4,F,African American,NO,NO,NO
3560431508,454,492,2,F,Caucasian,YES,NO,NO
3560631608,555,588,4,M,Caucasian,NO,NO,NO
3564921608,530,554,4,F,Caucasian,NO,NO,NO
3566521808,408,421,1,M,Hispanic,NO,NO,NO
3569911060,565,570,4,M,African American,NO,YES,NO
3572921609,513,519,3,F,Hispanic,NO,NO,NO
3574221608,587,568,4,F,Caucasian,NO,NO,NO
3574671908,475,518,3,F,Caucasian,NO,NO,NO
3574761608,530,562,5,M,Hispanic,NO,NO,NO
3576991160,473,493,1,F,Hispanic,YES,NO,NO
3576991545,530,550,4,F,Unknown,NO,NO,NO
3577631060,493,526,2,F,African American,NO,NO,NO
3577721535,460,493,2,M,Multi-Racial,YES,NO,NO
3578291608,542,593,5,F,Caucasian,NO,NO,NO
3583561708,589,616,5,M,Caucasian,NO,NO,NO
3583841608,540,549,4,M,Caucasian,NO,NO,NO
3585181628,487,503,2,F,Hispanic,NO,NO,NO
3589561608,550,567,4,F,Caucasian,NO,NO,NO
3589571608,539,539,4,M,Caucasian,NO,NO,NO
3594091608,487,489,3,M,African American,NO,NO,NO
3594321508,498,511,2,M,African American,YES,NO,NO
3594341608,503,521,3,M,African American,NO,NO,NO
4804292858,520,548,4,F,Caucasian,NO,NO,NO
4804295625,507,543,2,F,African American,NO,NO,NO
3576071808,512,494,3,M,Caucasian,no,yes,yes
3535311408,433,486,1,M,African American,yes,no,yes
3537471808,550,598,5,M,Caucasian,no,yes,yes
3558071508,472,464,1,M,African American,no,no,yes
3573231309,495,528,3,F,African American,no,yes,yes
3597741508,555,556,4,F,Caucasian,no,no,yes
3584271508,515,535,3,M,Caucasian,no,no,yes
3571471509,505,515,2,F,African American,no,no,yes
3594151577,583,583,5,M,African American,no,no,no
3538251508,557,529,2,M,Caucasian,no,no,no
3547121591,572,572,5,F,Caucasian,no,no,no
3512991408,546,544,3,M,Caucasian,no,no,no
4804266071,569,567,4,F,Hispanic,no,yes,no
4804244929,505,525,3,F,Hispanic,no,yes,no
3530301431,522,564,3,F,Caucasian,yes,yes,no
3527751508,523,531,3,M,Multi-Racial,no,yes,no
4804251324,535,547,4,F,African American,no,yes,no
3517521308,414,414,1,M,African American,yes,yes,no
3538141535,552,556,4,M,Multi-Racial,no,yes,no
3570291408,491,543,3,M,African American,yes,yes,no
3577091588,597,554,5,F,Caucasian,no,yes,no
3594231409,495,514,3,M,African American,no,yes,no
3531971436,498,532,3,F,Hispanic,no,yes,no
3586071534,536,539,2,F,Caucasian,no,yes,no
3591801508,501,553,3,M,African American,no,yes,no
3558571508,431,514,2,F,Caucasian,no,yes,no
3577461512,467,529,3,M,Caucasian,no,yes,no
3579121436,407,463,1,F,Hispanic,yes,yes,no
3578671508,481,520,2,F,Multi-Racial,no,yes,no
3527541508,536,557,4,M,Caucasian,no,yes,no
3576911508,512,510,2,M,Caucasian,no,yes,no
3532801545,553,577,4,M,Multi-Racial,no,no,no
3592921608,593,614,5,M,Multi-Racial,no,no,no
3554491536,558,551,3,F,Caucasian,no,no,no
3573751577,512,531,3,F,African American,no,no,no
3569911508,486,478,2,F,Hispanic,no,no,no
3515041508,521,560,3,F,Multi-Racial,no,no,no
3530981408,537,531,4,M,Caucasian,yes,no,no
3507951708,526,573,3,F,Caucasian,no,no,no
3580081508,590,595,4,F,Caucasian,no,no,no
3571301431,433,472,2,M,African American,yes,no,no
3571770960,473,535,3,F,African American,yes,no,no
3553261408,437,475,1,F,Hispanic,yes,no,no
1300604301,515,548,3,F,African American,no,no,no
3555201209,526,573,4,M,African American,no,no,no
3512401409,472,488,2,F,Hispanic,no,no,no
3535211535,516,544,3,M,Multi-Racial,no,no,no
3560431408,478,544,3,F,Caucasian,yes,no,no
3530351808,504,504,4,F,Hispanic,no,no,no
3556371235,500,513,2,F,Hispanic,no,no,no
3569011535,578,586,4,M,Hispanic,no,no,no
3572921508,546,571,5,M,Caucasian,no,no,no
3581931508,568,587,5,M,Caucasian,no,no,no
3510551409,463,512,3,F,Caucasian,yes,no,no
3567731587,563,570,4,F,Caucasian,no,no,no
3577201309,487,519,3,F,Caucasian,yes,no,no
3515661599,402,410,1,M,Hispanic,no,no,no
3556661508,499,499,2,M,Hispanic,no,no,no
3532391508,526,546,3,F,Caucasian,no,no,no
3545691508,493,538,3,F,Caucasian,no,no,no
3557181608,516,525,2,F,Caucasian,no,no,no
3513081509,490,506,3,F,African American,no,no,no
3597701508,543,565,3,M,African American,no,no,no
3533011335,424,472,1,M,Hispanic,no,no,no
3553261508,523,543,3,F,Hispanic,no,no,no
3577121508,493,468,2,M,Hispanic,no,no,no
3548671509,492,498,3,F,Caucasian,no,no,no
3556041536,488,517,3,M,Caucasian,no,no,no
3571491808,540,563,5,M,Caucasian,no,no,no
3531971408,457,449,2,M,Hispanic,yes,no,no
5926006517,501,501,2,F,African American,no,no,no
3580841435,496,539,3,F,African American,no,no,no
3508421508,551,558,3,M,Caucasian,no,no,no
3515361508,559,546,3,M,Caucasian,no,no,no
3531461508,612,593,5,F,Caucasian,no,no,no
3571921508,503,522,4,F,Caucasian,no,no,no
3582191508,522,554,5,F,Caucasian,no,no,no
3592081508,529,534,3,F,Caucasian,no,no,no
3535761308,497,519,3,M,Caucasian,yes,no,no
